WashingtonD.C. 38.89511 -77.03637
LosAngeles     34.05223 -118.24368
Chicago         41.85003 -87.65005
LasVegas       36.17497 -115.13722
Sanfrancisco   37.77493 -122.41942
Houston         29.76328 -95.36327
Miami           25.77427 -80.19366
Phoenix         33.44838 -112.07404
SanDiego       32.71571 -117.16472
NY              40.71427 -74.00597
Philadelphia   39.95233 -75.16379
Baltimore      39.29038 -76.61219
Boston         42.35843 -71.05977
Seattle        47.60621 -122.33207
Nashville      36.16589 -86.78444
Denver         39.73915 -104.9847
Albuquerque    35.08449 -106.65114
Atlanta        33.749 -84.38798
